account_id,amount,memo
Vzx4E1YfNhrcVeYn3KJPoJFHaqQjE2svEig5hmiVNs4K49V,3078.805804,
W3cSoP6Lgw2nbFt4phYpgnSZ19wZ16ZgECKduLbfQBYwDB9,1016.107526,
WmoeYFMgqkJcVZeuaaj2UBk4QyCQc1SrG62QpaqZLjLJves,1364.93724,
aKxSi8EA4RHa1PePmLt7sqng45poejRGbRjeUYcQDb7sWAX,508.053763,
ZxiZUzjYJzYyZoT68tpnxQrMXJ91iJNhZ6B4P16SKXGqpCF,3078.805804,
XtRxQsAr7Tx25TnytXBCc9b1aRR4LYaJ9p4wWaRHiWaMzb1,1016.107526,
bWwdtUDUd9NsqQ1DQUvEuXcFrwJjeRTX1FHd5xxjzFUXXc7,14573.014136,
YP2EwpUeWZ9cGtJyNYuLLQhAiK8GukqmypeAP5pEvzA2rS5,1026.268602,
ZUEu7kf5MfZvGAnhzJMXQb1Ybkp5JmLFWGfww3zXRv1Wq8N,513.134301,
XSytLYUdnmzBdN9qmXnAi1Kw4sTuzJkuKuRc2abWnnjVCuW,513.134301,
aZpaehfihqejCCpexVcyK6TuLpEhbzK6p11LzNyhvfCWVLT,20322.150518,
X3GjHbju4wRsxPR9wx1GDHCAmbPf2HqZEy1TWPvfmKNS1Gz,15907.163318,
XE2yGgkR5W6JzK2cnkuLxncWv5apwyBuvJ2yXREAaftHwNH,1539.402902,
aR6wECNiPY3rjhp7Nr2CdfwjiTR82EGneUgmtCrK2Fpci6r,513.134301,
bNoz6zQGC3iJLcEEy4WNXspL2f6kQGYT61x4xQWJoa2gCUi,81288.602069,
YAGAURbtVBnwdwefb6BgzD5eJqDspmauyRhAZUptCa6rqCK,513.134301,
YFzny9xg7tQ5tv8sM8ov41UgBAAQoY9SF3umEYDiYEhtuee,1334.149182,
bHftybfKLwxRcRrGS4DpuNGWVqaAtUCJ82ZMMgMLhgoGMjL,563.134301,
WQEGqNn3uyqWUamV8m45wyvfC3p5oTdWeTWSgxLk4pimMoM,1127.879354,
aWmTvyp6H3KpNfUFZKUjAUS7tqKrYPQMQ6kjk1oop9WQ7F1,508.053763,
XGRfN2sVGdxrJjnVS3C1F8YJD5LVE6TBXDexnAKU6NWAhGt,1524.161289,
ascUZWtFeA42KM8NNfk8sib2dVnHz3Fyr9oQxDgKQiB24N5,1016.107526,
ZoHQqWymqnkWvgo9X9vSV4P4EJZp97v7pLV3MKHB45mbrsH,1539.402902,
Yr1bs4jJi76Zp2eUD4B17GUSK6K2uLRTK8DwY63YB1PK3Eq,1539.402902,
Z2YGzqFfjTvz7Hj1DuzE8XsDvzRUK6nhGJGMQsYSgx3fnC9,2213.20382,
ZvXjNh7DphB3Et26A4jX8YxKCKoRvQ64b3A47djc7XDuvek,563.134301,
an5B52nFPTjARuMhKZvw2cazuUE9yeyt51quYpaD3MqwTds,882.590997,
WwwyQqC2mZ5S4oE47fTkXmJCPxVc5pEKuSBRHPbJ6bHMS86,589.342365,
Xf5QrfKKddBJCKX9ZwzLmK6A1df9KYYyFmmaGskkaX7EdGs,1524.161289,
WuYknZT75JegFbTiPMCKHZWEnfwngb2qn4ZWSucaSoRZPmJ,1127.879354,
XXMRNuxeoXvMDALYmARYnCryGVqRsRH8xp6eUoaXGSpyoyh,1524.161289,
YcxNmUg77cgLiNN9Koj3f633jge3WAdYGhf8a5DqKZrknCg,43121.718279,
YMao2pvWstYbVfcbFzXzmEFjxoz27RAn2PLP9WDtMxH1zys,1139.158148,
bN5oFs7yTjy9thQL5qgGuHT4PgL8qHRbEU6gP42fiEynLZQ,513.134301,
WSoh2Q9pTpzqLjB9bKDk1xg9w1X7qio58PBa8dWT488VEYx,28156.715028,
ZNiYpmgexL5DdenAsqooPYgLzZRTgxA3AUq4XquP8jn4U8m,4511.517415,
YUJtZwjBB3FgcxVH5ingPQPaEGs2bz3sbznsjSYfxACuZFz,28156.715028,
YtbDPHpdkB3uBpwRxS7gyXZigZQaCHQHcEj7pC2dcef2XX2,1026.268602,
XMB3iGDHfZYxNYuqsj4S2hYgkgcachSC393iUWo1waADnbu,1016.107526,
bGp3WQNpJNUmdDsmwEa2722KqeY6QPEKv2TsrdtRvcTPAac,1529.140216,
YSYtumgs5BdSGzgHq88HEqyAzbQnxQPL8KVoGxABAUHu2B3,834.275085,
aS8gidGLgDPVLoEXpUHQmh9CAEqTzWu5mczHCf92QeyL1K8,6401.477413,
XGc1XpXEqz19hD1jsfpugppvM7UXMd2J7GU4okKqCTF8xoc,12007.342633,
XMetaczL1nG9pLn5MfQH3piVNK5s5qbBTPYtLoXd55wV4MV,7509.871252,
YFLpqvULxNArb2daz45HeHUrWGnVxByPS3crvdFKbJatT2Y,2913.49032,
ZRb5rHo2NQnJrdeGWtDtLD6V1nV4NgfCMh7gn26VyHck219,1794.358811,
WAgwNgGLe1ZYKxkYG9Me6n4y3YLphqRL8uBxjpd8axnrcF2,1127.879354,
XPgNUEoTww8gE7UviN9oD7R8B1uHaFfPyZ317dVwAVnaHn1,615.761161,
ZqaDjA5B3pmdyhxCA64SqB312XDVKe8Ns525WyNbDRGZVg1,10262.686012,
XcajuQSC891BL5qXnar2L1uZoo7DpbRStSkrUw2nHceqp9U,5080.53763,
anCsM3vB3rd9fvLCGzaxJ6wfdCFxkRKrjmMMMLB3P5EMdb9,17376.33744,
ZqGw1aQvnRcq75Xxz73b6rNavpCgaQ1UxPk38GqVyGTs3ho,25656.715028,
YnsK6ek9Dq7LXYKG8ceW3nGX44PaD8cYGRT8LFYxG54kPPZ,55443.337945,
bGmp312wezGKHMgQobBwiKoMVNUAmUP4iMd8NoF126W7Yim,7173.617522,
YkNxMNGzFewRTGYVZLTRYB7thQLrpTwhzoYvzxeo1FqMydj,39195.360824,
Xcr1p2ZoyKCtmfF79DVYKMtepDULqCYmzPVYHyTPvsP7B5C,2871.519869,
a7qxNATKJ8uDduU4Nop8ZEfpkFqJbDmtncutQPP9AZDjPvr,104166.263013,
Y2mNEdWH1tWbnJ6smmzze1mTjWVvSjEKKfywDBTfgdhsb8C,4105.074405,
WY7WXmde3DidKd5TjPTBwJxFVPRjN3YKYNe33psjvXpncrG,508.053763,
XrEeXjZEKA5vLVo14yoLuaWMjEHhRQbvaR5Zc9fUaKSZxfe,513.134301,
aCRRaCkMLQZ4x32U9KsroH8zCcApNnupr7LqhhwVUaXy27C,1016.107526,
aeLTXXLd4ZBHm1QcLVyK7nAi8Ddp3eQWx327G7KuvsVbwja,1127.879354,
X3ERfLHGDcRqGvxHhwPDT525CipsmGnjq2zyJMzLJopUaTB,1789.640808,
YXjYHscyK9YRYotWZiiuuHigED5kYoJkoigkrYtUwNxvEVR,2957.736592,
ZRyfHJXSTyRD9YfkYA78fqUkdoFC2vPFD8pRjnksT8pQ2TG,508.053763,
WaTGUUByMYHPXatxHuxBnqo1aXGiR9K3bV1KteRkwvJ7w71,513.134301,
Yy84QzfXBgndCxA7e1FmM2vFCBaAMJBREuDHkm73EAmGXcB,513.134301,
bePzh6Xty6qKJUPh3iCztwLuWEKJ9KjRRAeNimo2eUzts2E,50805.376293,
bC8SG3GQgJtSfMjY8xmNEdSiWaEDFhfdQEvuqGRu7wYkLRC,4618.208705,
Xfnv6LVPAheCaeqtfWthX8N8hzUQHja5BjoW5oNZ6rHXWFt,513.134301,
a7mCep5bWt1LNoS5DgyPKNWguEeAa138EMHiPg2eJkwrfkg,6958.890555,
Xth8L6JrXjKLV7rkNoPwcrAS5TEqpUSU1vp662fkhxDs4F7,22577.909225,
Yy7JvgtwknUNLMk5X249tHuQphnekwgMartEzg99LmCSecv,1539.402902,
WqxzjXaHQjJyHgqPBM8D8oJ3NoBEZFfsDeVXraFUiPNqhUJ,513.134301,
W3VtaNLnpmHthoNMd2Z2aBhuU2FeWdotpnYsMYzrVxnpb8n,2665.250041,
XuKEkQ5Ghfo1ZRXM5AAgA9CLZeimNbMG7KWyd54P7Gyc5rg,718.388021,
Z4gJcMCc1ErUpPbx3DgNSXL4mWXtWycvFZ3wQiT3U1uD4eP,1231.522322,
WzueLUyPKKNtvSd5dMXaT3ANSGKsubTXARoYcMz6pT3VenB,8169.504508,
WKDKoMV13ackk2Kfb4ZrHBLeEYBo7KwWphyHTHBbYHSHVp2,513.134301,
Yz9zzvfpravZYBaw6Zq4AW1yiSZCmP3VLYTk5YwBtEE6Jb4,10262.686012,
ZU9UyciZQwSKckqG3FEutojLzHhJH2upPT3y7zCSVwKZENC,5791.812898,
WtRTdmLhTqPAgTQ7FrmPuGXTNAYn4k7LxWT24MApo69VC3y,3284.059524,
aL2HGAPYQh8mWjDXjsTuAWtGpkZRASuwCX997iD2nfcrgRk,52542.920162,
